Site,Date,Watershed,Rain/Snow,Precipitation.cm,NH4N.mgl,NO3N.mgl,NO2N.mgl,SO4S.mgl,PO4.mgl,Cl.mgl,F.mgl,Mg.mgl,Ca.mgl,K.mgl,Na.mgl,,,,,,,,,,
hall,131220,Salt Lake,snow,1.48,0.42,0.38,0.00,0.16,0.01,1.41,0.02,0.00,0.22,0.05,0.62,,,,,,,,,,
hall,131221,Salt Lake,snow,0.33,0.33,0.21,0.00,0.11,0.02,2.12,0.03,0.06,0.25,0.08,1.37,,,,,,,,,,
hall,140104,Salt Lake,snow,0.33,0.42,0.24,0.02,0.33,0.01,1.77,0.03,0.00,1.17,0.19,1.33,,,,,,,,,,
hall,140108,Salt Lake,snow,0.22,0.39,0.29,0.01,0.17,0.02,4.11,0.05,0.10,0.85,0.14,2.62,,,,,,,,,,
hall,140110,Salt Lake,snow,1.19,0.41,0.37,0.00,0.23,0.01,2.35,0.15,0.03,0.53,0.57,1.20,,,,,,,,,,
hall,140201,Salt Lake,snow,0.20,0.40,0.20,0.01,0.00,0.01,4.84,0.01,0.14,1.15,0.18,2.83,,,,,,,,,,
hall,140204,Salt Lake,snow,0.34,0.45,0.36,0.01,0.16,0.01,5.82,0.01,0.12,1.63,0.08,3.50,,,,,,,,,,
hall,140228,Salt Lake,rain,2.22,0.28,0.08,0.01,0.11,0.11,1.27,0.01,0.16,1.20,0.97,0.31,,,,,,,,,,
hall,140306,Salt Lake,rain,0.76,0.69,0.12,0.07,0.42,0.20,0.66,0.04,0.48,2.07,3.01,0.44,,,,,,,,,,
hall,140307,Salt Lake,rain,0.28,0.96,0.45,0.02,0.56,0.02,1.29,0.02,0.42,2.64,0.79,0.39,,,,,,,,,,
hall,140318,Salt Lake,rain,0.05,0.32,0.44,0.02,4.71,0.26,38.90,0.08,3.12,9.28,3.54,36.96,,,,,,,,,,
hall,140406,Salt Lake,rain,1.00,0.87,0.28,0.01,0.38,0.01,0.68,0.01,0.07,0.74,0.18,0.26,,,,,,,,,,
hall,140414,Salt Lake,rain,0.22,0.53,0.68,0.01,1.41,0.10,5.88,0.07,0.69,11.27,2.99,3.86,,,,,,,,,,
hall,140425,Salt Lake,rain,0.20,0.00,0.00,0.00,12.62,0.30,52.79,0.09,3.47,25.20,7.97,58.62,,,,,,,,,,
hall,140428,Salt Lake,rain,2.50,0.14,0.26,0.01,0.86,0.00,2.66,0.02,0.49,3.28,0.98,2.22,,,,,,,,,,
hall,140508,Salt Lake,rain,1.79,0.27,0.42,0.01,0.40,0.00,1.03,0.03,0.33,2.45,1.81,1.55,,,,,,,,,,
hall,140511,Salt Lake,rain,1.14,0.45,0.23,0.01,0.31,0.02,3.07,0.02,0.13,1.35,0.43,0.32,,,,,,,,,,
hall,140528,Salt Lake,rain,0.18,0.34,0.62,0.01,0.76,0.15,1.73,0.05,0.56,4.28,2.59,1.07,,,,,,,,,,
hall,140618,Salt Lake,rain,1.73,0.91,0.55,0.01,0.83,0.24,2.35,0.02,0.32,3.98,0.77,1.57,,,,,,,,,,
hall,140627,Salt Lake,rain,0.44,0.22,0.91,0.01,1.16,0.01,6.59,0.08,0.75,6.48,1.36,4.70,,,,,,,,,,
hall,140710,Salt Lake,rain,0.09,0.03,1.78,0.00,2.01,0.00,8.31,0.21,1.69,13.34,5.04,7.42,,,,,,,,,,
hall,140720,Salt Lake,rain,0.12,0.00,2.60,0.00,3.36,0.00,24.71,0.24,2.22,15.40,5.72,17.87,,,,,,,,,,
hall,140729,Salt Lake,rain,0.87,0.48,1.35,0.01,0.90,0.00,2.69,0.11,1.47,6.97,3.82,2.47,,,,,,,,,,
hall,140730,Salt Lake,rain,1.70,0.54,0.37,0.01,0.32,0.00,0.21,0.02,0.25,2.98,0.42,0.21,,,,,,,,,,
hall,140804,Salt Lake,rain,0.45,0.91,0.59,0.01,0.51,0.02,0.41,0.00,0.16,1.68,0.26,0.23,,,,,,,,,,
hall,140806,Salt Lake,rain,1.07,0.70,0.36,0.01,0.23,0.00,0.22,0.02,0.22,1.12,0.28,0.10,,,,,,,,,,
hall,140814,Salt Lake,rain,0.43,0.21,0.29,0.01,0.44,0.05,0.80,0.05,0.54,1.74,1.45,0.33,,,,,,,,,,
hall,140820,Salt Lake,rain,1.74,0.41,0.34,0.01,0.22,0.00,0.59,0.01,0.17,1.47,0.19,0.22,,,,,,,,,,
hall,140823,Salt Lake,rain,1.28,0.68,0.62,0.01,0.46,0.00,2.51,0.05,0.33,1.98,0.59,1.15,,,,,,,,,,
hall,140908,Salt Lake,rain,1.44,0.63,0.59,0.01,0.94,0.00,9.03,0.03,0.76,3.46,0.99,5.16,,,,,,,,,,
hall,140909,Salt Lake,rain,2.84,0.37,0.18,0.00,0.18,0.00,0.67,0.01,0.13,0.83,0.44,0.16,,,,,,,,,,
hall,140917,Salt Lake,rain,0.07,0.00,1.28,0.00,4.33,0.00,24.99,0.11,2.13,16.77,1.45,16.28,,,,,,,,,,
hall,140922,Salt Lake,rain,0.67,0.13,0.29,0.01,0.29,0.00,2.59,0.03,0.32,3.25,3.15,0.50,,,,,,,,,,
hall,141001,Salt Lake,rain,5.25,0.23,0.19,0.01,0.20,0.00,0.44,0.01,0.10,1.16,0.29,0.23,,,,,,,,,,
hall,141012,Salt Lake,rain,0.37,0.65,0.52,0.02,0.83,0.01,1.72,0.04,0.24,2.76,0.29,1.55,,,,,,,,,,
hall,141103,Salt Lake,rain,0.48,0.60,1.08,0.03,2.44,0.55,13.37,0.09,1.13,10.30,5.60,6.78,,,,,,,,,,
hall,141115,Salt Lake,rain,0.43,0.15,0.66,0.05,0.00,0.00,5.25,0.06,0.55,6.79,0.89,3.55,,,,,,,,,,
hall,141121,Salt Lake,rain,2.48,0.18,0.10,0.02,0.10,0.00,0.24,0.01,0.07,1.54,0.07,0.14,,,,,,,,,,
hall,141124,Salt Lake,rain,1.82,0.20,0.14,0.01,0.26,0.00,1.98,0.02,0.16,2.74,0.23,1.18,,,,,,,,,,
hall,141214,Salt Lake,rain,0.93,0.35,0.30,0.03,0.62,0.00,3.44,0.05,0.34,4.55,0.25,2.23,,,,,,,,,,
hall,141221,Salt Lake,rain,2.32,0.18,0.09,0.01,0.11,0.00,0.28,0.01,0.09,1.77,0.06,0.14,,,,,,,,,,
hall,141223,Salt Lake,rain,1.83,0.11,0.04,0.01,0.06,0.00,0.16,0.00,0.04,0.87,0.00,0.05,,,,,,,,,,
hall,141226,Salt Lake,rain,1.23,0.26,0.16,0.01,0.17,0.02,2.32,0.01,0.13,0.95,0.12,1.24,,,,,,,,,,
hall,141229,Salt Lake,rain,0.52,0.31,0.26,0.00,0.10,0.00,3.22,0.01,0.02,0.43,0.00,1.88,,,,,,,,,,
hall,150111,Salt Lake,rain,2.13,0.57,0.36,0.05,0.53,0.00,12.93,0.03,0.27,3.64,0.18,7.96,,,,,,,,,,
hall,150113,Salt Lake,rain,2.46,0.25,0.12,0.02,0.09,0.01,0.16,0.01,0.05,0.54,0.05,0.08,,,,,,,,,,
hall,150120,Salt Lake,rain,0.60,0.35,0.21,0.03,0.39,0.00,2.59,0.03,0.19,1.92,0.07,1.65,,,,,,,,,,
